EFPG_name,Metroregion_name,Purchase_grams_wtd,Date,Latitude,Longitude,Type
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23999806419.0,2017-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23269689288.0,2017-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24111634119.0,2017-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,20087107761.0,2018-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19088388230.0,2018-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22016519557.0,2018-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22340901387.0,2018-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25793975348.0,2018-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25316794202.0,2018-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,26498594720.0,2018-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25881619715.0,2018-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25156817636.0,2018-09-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24398425991.0,2018-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23176647645.0,2018-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23565263226.0,2018-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,20961505644.30173,2019-01-01,33.749,-84.388,Forecast
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19627538827.39928,2019-02-01,33.749,-84.388,Forecast
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22173162465.900173,2019-03-01,33.749,-84.388,Forecast
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22680343590.49721,2019-04-01,33.749,-84.388,Forecast
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25426664363.57726,2019-05-01,33.749,-84.388,Forecast
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25119732047.80943,2019-06-01,33.749,-84.388,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,7203482980.0,2012-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6830572509.0,2012-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7378526022.0,2012-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7755156483.0,2012-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8941266882.0,2012-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9311835697.0,2012-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10670046682.0,2012-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10155456025.0,2012-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8519451262.0,2012-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7988226821.0,2012-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7734302118.0,2012-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9458365344.0,2012-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7462388303.0,2013-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6781157986.0,2013-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7618994364.0,2013-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7778003945.0,2013-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9686864199.0,2013-05-01,42.3601,-71.0589,Actual
