EFPG_name,Metroregion_name,Season,Latitude,Longitude,Purchase_grams_wtd
"Bacon, sausage, and lunch meats",Chicago-Naperville-Elgin  IL-IN-WI,Winter,41.8781,-87.6298,158153743534.0
"Bacon, sausage, and lunch meats",Dallas-Fort Worth-Arlington  TX,Fall,32.7767,-96.797,111089399701.0
"Bacon, sausage, and lunch meats",Dallas-Fort Worth-Arlington  TX,Spring,32.7767,-96.797,109861813056.0
"Bacon, sausage, and lunch meats",Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,109789659320.0
"Bacon, sausage, and lunch meats",Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,115449098845.0
"Bacon, sausage, and lunch meats",Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,57245579118.0
"Bacon, sausage, and lunch meats",Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,65840026146.0
"Bacon, sausage, and lunch meats",Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,62803396828.0
"Bacon, sausage, and lunch meats",Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,65011641631.0
"Bacon, sausage, and lunch meats",Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,90834538643.0
"Bacon, sausage, and lunch meats",Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,91008687701.0
"Bacon, sausage, and lunch meats",Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,90044823856.0
"Bacon, sausage, and lunch meats",Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,95455435818.0
"Bacon, sausage, and lunch meats",Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,147975969357.0
"Bacon, sausage, and lunch meats",Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,150017432256.0
"Bacon, sausage, and lunch meats",Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,147982039708.0
"Bacon, sausage, and lunch meats",Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,164780035486.0
"Bacon, sausage, and lunch meats",Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,82786674900.0
"Bacon, sausage, and lunch meats",Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,83320182420.0
"Bacon, sausage, and lunch meats",Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,75672192442.0
"Bacon, sausage, and lunch meats",Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,92205984547.0
"Bacon, sausage, and lunch meats",New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,187793110620.0
"Bacon, sausage, and lunch meats",New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,200245199170.0
"Bacon, sausage, and lunch meats",New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,198510032780.0
"Bacon, sausage, and lunch meats",New York-Newark-Jersey City  NY-NJ-PA,Winter,40.7128,-74.006,209246325633.0
"Bacon, sausage, and lunch meats",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Fall,39.9526,-75.1652,99162631410.0
"Bacon, sausage, and lunch meats",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Spring,39.9526,-75.1652,106486977628.0
"Bacon, sausage, and lunch meats",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Summer,39.9526,-75.1652,99242625135.0
"Bacon, sausage, and lunch meats",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Winter,39.9526,-75.1652,106085742048.0
"Beef, pork, lamb, veal and game, fresh",Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,88572093536.0
"Beef, pork, lamb, veal and game, fresh",Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,94001161460.0
"Beef, pork, lamb, veal and game, fresh",Atlanta-Sandy Springs-Roswell  GA,Summer,33.749,-84.388,93925014916.0
"Beef, pork, lamb, veal and game, fresh",Atlanta-Sandy Springs-Roswell  GA,Winter,33.749,-84.388,93246384401.0
"Beef, pork, lamb, veal and game, fresh",Boston-Cambridge-Newton  MA-NH,Fall,42.3601,-71.0589,90021251948.0
"Beef, pork, lamb, veal and game, fresh",Boston-Cambridge-Newton  MA-NH,Spring,42.3601,-71.0589,97933601935.0
"Beef, pork, lamb, veal and game, fresh",Boston-Cambridge-Newton  MA-NH,Summer,42.3601,-71.0589,99757828590.0
"Beef, pork, lamb, veal and game, fresh",Boston-Cambridge-Newton  MA-NH,Winter,42.3601,-71.0589,95176618045.0
"Beef, pork, lamb, veal and game, fresh",Chicago-Naperville-Elgin  IL-IN-WI,Fall,41.8781,-87.6298,129158747787.0
"Beef, pork, lamb, veal and game, fresh",Chicago-Naperville-Elgin  IL-IN-WI,Spring,41.8781,-87.6298,139250029177.0
"Beef, pork, lamb, veal and game, fresh",Chicago-Naperville-Elgin  IL-IN-WI,Summer,41.8781,-87.6298,125164373834.0
"Beef, pork, lamb, veal and game, fresh",Chicago-Naperville-Elgin  IL-IN-WI,Winter,41.8781,-87.6298,145292219276.0
"Beef, pork, lamb, veal and game, fresh",Dallas-Fort Worth-Arlington  TX,Fall,32.7767,-96.797,130196110776.0
"Beef, pork, lamb, veal and game, fresh",Dallas-Fort Worth-Arlington  TX,Spring,32.7767,-96.797,136279685476.0
"Beef, pork, lamb, veal and game, fresh",Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,134291291727.0
"Beef, pork, lamb, veal and game, fresh",Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,137063415716.0
"Beef, pork, lamb, veal and game, fresh",Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,70839179236.0
"Beef, pork, lamb, veal and game, fresh",Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,79920020117.0
"Beef, pork, lamb, veal and game, fresh",Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,76689766537.0
"Beef, pork, lamb, veal and game, fresh",Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,75657237166.0
"Beef, pork, lamb, veal and game, fresh",Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,130314143595.0
"Beef, pork, lamb, veal and game, fresh",Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,136079046193.0
"Beef, pork, lamb, veal and game, fresh",Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,134975618276.0
"Beef, pork, lamb, veal and game, fresh",Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,141901949468.0
"Beef, pork, lamb, veal and game, fresh",Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,179753851830.0
"Beef, pork, lamb, veal and game, fresh",Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,196561424019.0
"Beef, pork, lamb, veal and game, fresh",Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,188747809455.0
"Beef, pork, lamb, veal and game, fresh",Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,215285248825.0
"Beef, pork, lamb, veal and game, fresh",Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,107845603822.0
"Beef, pork, lamb, veal and game, fresh",Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,117034971584.0
"Beef, pork, lamb, veal and game, fresh",Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,109885758909.0
"Beef, pork, lamb, veal and game, fresh",Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,128462790018.0
"Beef, pork, lamb, veal and game, fresh",New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,198474343824.0
"Beef, pork, lamb, veal and game, fresh",New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,224001005413.0
"Beef, pork, lamb, veal and game, fresh",New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,218905569846.0
"Beef, pork, lamb, veal and game, fresh",New York-Newark-Jersey City  NY-NJ-PA,Winter,40.7128,-74.006,222560023090.0
